borough,sitetype,parksitename,address,latitude,longitude
Brooklyn,Greenthumb,St. Nicholas-Olive Street Garden,21-25 Olive Street ,40.713318,-73.938972
Brooklyn,Outdoor,Starret City,1344 Pennsylvania Avenue,40.650143,-73.884369
Brooklyn,Outdoor ,Sternberg Park,Lorimer St,40.706314,-73.948029
Brooklyn,Outdoor ,Sternberg Park,Boerum St,40.705616,-73.947174
Brooklyn,Indoor,Sunset Park,5 Ave & 44 St,40.648468,-74.006767
Brooklyn,Outdoor ,Sunset Park,5 Ave & 44 St,40.648479,-74.006676
Brooklyn,Greenthumb,Ten Eyck Houses,15-17 Ten Eyck Street,40.709648,-73.950165
Brooklyn,Greenthumb,"Triple R/Relaxation, Reflection, Revenue (Victoria Garden)",613 Hendrix Street ,40.66655,-73.887688
Brooklyn,Greenthumb,UCC (United Community Centers) Youth Farm/East New York Farms,613 Schenck Avenue ,40.665325,-73.886772
Brooklyn,Outdoor ,Underhill Playground,Underhill Ave & Prospect Pl,40.676765,-73.965904
Brooklyn,Outdoor ,Underwood Playground,Underwood Park,40.688206,-73.96656
Brooklyn,Greenthumb,Upon the Rock,2556 Pitkin Avenue.,40.674328,-73.877869
Brooklyn,Greenthumb,Vernon (Throop Avenue Block Assoc.),253 Throop Avenue,40.695221,-73.94326
Brooklyn,Greenthumb,Welcome Home,681 Halsey Street,40.684658,-73.925224
